Freq,PSD,frecuencia predominante,Tension resultante media
8.3833333,4.41771E-06,30,34
25.15,1.29854E-05,30,34
41.9166667,2.47771E-06,30,34
58.6833333,2.66316E-06,30,34
75.45,2.25447E-06,30,34
92.2166667,2.67334E-07,30,34
108.9833333,1.1827E-07,30,34
125.75,6.98829E-07,30,34
142.5166667,1.36614E-05,30,34
159.2833333,7.3462E-06,30,34
176.05,9.38752E-06,30,34
192.8166667,2.41161E-05,30,34
209.5833333,2.56976E-05,30,34
226.35,1.0171E-05,30,34
243.1166667,1.62533E-05,30,34
259.8833333,2.17542E-06,30,34
276.65,4.54433E-06,30,34
293.4166667,4.36418E-06,30,34
310.1833333,1.85807E-06,30,34
326.95,5.67555E-06,30,34
343.7166667,1.23526E-05,30,34
360.4833333,2.29843E-07,30,34
377.25,2.75846E-06,30,34
394.0166667,6.77502E-07,30,34
410.7833333,1.07787E-06,30,34
427.55,4.51805E-07,30,34
444.3166667,9.06136E-09,30,34
461.0833333,2.42787E-07,30,34
477.85,2.10294E-06,30,34
494.6166667,1.43287E-06,30,34
8.5333333,0.000838587,116,23
25.6,1.58543E-05,116,23
42.6666667,0.001037812,116,23
59.7333333,0.000816273,116,23
76.8,0.000788557,116,23
93.8666667,0.00025999,116,23
110.9333333,0.000272189,116,23
128,5.2658E-05,116,23
145.0666667,8.37666E-06,116,23
162.1333333,3.33468E-06,116,23
179.2,2.19708E-05,116,23
196.2666667,2.11095E-05,116,23
213.3333333,3.42237E-05,116,23
230.4,7.32036E-06,116,23
247.4666667,8.11639E-06,116,23
264.5333333,2.41791E-05,116,23
281.6,4.05502E-05,116,23
298.6666667,1.51039E-05,116,23
315.7333333,1.64889E-05,116,23
332.8,1.22241E-05,116,23
349.8666667,2.61716E-05,116,23
366.9333333,2.54673E-05,116,23
384,1.71856E-05,116,23
401.0666667,2.38636E-05,116,23
418.1333333,7.24042E-06,116,23
435.2,6.48105E-06,116,23
452.2666667,4.85557E-05,116,23
469.3333333,1.03733E-05,116,23
486.4,1.52398E-05,116,23
503.4666667,2.26599E-05,116,23
8.5333333,0.000222892,116,23
25.6,4.94027E-05,116,23
42.6666667,0.000525958,116,23
59.7333333,0.000102641,116,23
76.8,5.20229E-09,116,23
93.8666667,0.000193786,116,23
110.9333333,8.91922E-07,116,23
128,6.81963E-08,116,23
145.0666667,2.97104E-06,116,23
162.1333333,9.80375E-07,116,23
179.2,2.38974E-06,116,23
196.2666667,6.28055E-10,116,23
213.3333333,2.33536E-05,116,23
230.4,2.3742E-07,116,23
247.4666667,2.81926E-06,116,23
264.5333333,9.60542E-06,116,23
281.6,5.25378E-09,116,23
298.6666667,2.32226E-06,116,23
315.7333333,1.99391E-07,116,23
332.8,1.96636E-06,116,23
349.8666667,3.29819E-07,116,23
366.9333333,1.44988E-06,116,23
384,3.58581E-08,116,23
401.0666667,5.59275E-08,116,23
418.1333333,1.34079E-07,116,23
435.2,6.4054E-07,116,23
452.2666667,9.85043E-08,116,23
469.3333333,7.53732E-08,116,23
486.4,8.51068E-07,116,23
503.4666667,4.82215E-06,116,23
8.5333333,6.22908E-07,116,23
25.6,0.000251756,116,23
42.6666667,8.08882E-05,116,23
59.7333333,5.45307E-05,116,23
76.8,1.70053E-06,116,23
93.8666667,1.32885E-05,116,23
110.9333333,8.66114E-06,116,23
128,4.91181E-06,116,23
145.0666667,2.30567E-05,116,23
162.1333333,2.1691E-05,116,23
179.2,8.83057E-05,116,23
196.2666667,7.94368E-06,116,23
213.3333333,6.87546E-05,116,23
230.4,9.4566E-06,116,23
247.4666667,3.09801E-06,116,23
264.5333333,1.40176E-05,116,23
281.6,1.68011E-06,116,23
298.6666667,2.54126E-07,116,23
315.7333333,8.42334E-07,116,23
332.8,2.55159E-07,116,23
349.8666667,8.313E-06,116,23
366.9333333,5.47749E-06,116,23
384,3.36332E-07,116,23
401.0666667,1.02864E-06,116,23
418.1333333,2.96219E-06,116,23
435.2,2.20171E-06,116,23
452.2666667,3.63701E-06,116,23
469.3333333,2.89039E-06,116,23
486.4,8.04785E-06,116,23
503.4666667,5.22104E-09,116,23
8.3,6.25075E-05,63,21
24.9,7.15732E-09,63,21
41.5,0.000279281,63,21
58.1,7.53907E-07,63,21
74.7,2.54361E-05,63,21
91.3,6.42659E-06,63,21
107.9,8.74753E-05,63,21
124.5,2.09268E-06,63,21
141.1,3.6582E-07,63,21
157.7,9.27386E-07,63,21
174.3,4.40461E-06,63,21
190.9,7.6812E-06,63,21
207.5,5.32323E-06,63,21
224.1,2.1983E-05,63,21
240.7,9.50402E-06,63,21
257.3,1.367E-05,63,21
273.9,9.03642E-06,63,21
290.5,1.12156E-05,63,21
307.1,9.2353E-06,63,21
323.7,1.12053E-05,63,21
340.3,1.66854E-05,63,21
356.9,7.26737E-06,63,21
373.5,1.30766E-05,63,21
390.1,1.09846E-05,63,21
406.7,1.43984E-05,63,21
423.3,1.0385E-05,63,21
439.9,9.8601E-06,63,21
456.5,1.17282E-05,63,21
473.1,4.81757E-06,63,21
489.7,9.66352E-06,63,21
8.3,0.000200166,63,21
24.9,1.7189E-05,63,21
41.5,5.63572E-05,63,21
58.1,1.05738E-05,63,21
74.7,1.71241E-06,63,21
91.3,5.90696E-07,63,21
107.9,4.45288E-06,63,21
124.5,4.12737E-08,63,21
141.1,3.64462E-06,63,21
157.7,1.2917E-07,63,21
174.3,6.76509E-08,63,21
190.9,5.18195E-07,63,21
207.5,3.5046E-07,63,21
224.1,2.27439E-06,63,21
240.7,9.96742E-07,63,21
257.3,7.17508E-06,63,21
273.9,3.17763E-06,63,21
290.5,6.67587E-07,63,21
307.1,7.6402E-07,63,21
323.7,8.44113E-07,63,21
340.3,7.78481E-07,63,21
356.9,2.1511E-07,63,21
373.5,9.566E-10,63,21
390.1,7.68603E-08,63,21
406.7,1.83696E-10,63,21
423.3,5.05994E-07,63,21
439.9,1.66475E-09,63,21
456.5,7.76334E-08,63,21
473.1,3.70239E-08,63,21
489.7,2.78198E-07,63,21
8.3,5.66524E-07,63,21
24.9,2.51687E-05,63,21
41.5,1.94169E-05,63,21
58.1,4.10879E-06,63,21
74.7,0.000112891,63,21
91.3,2.30225E-06,63,21
107.9,4.48968E-06,63,21
124.5,8.7666E-10,63,21
141.1,6.96723E-05,63,21
157.7,0.000208849,63,21
174.3,7.29648E-06,63,21
190.9,2.44355E-08,63,21
207.5,2.53839E-06,63,21
224.1,1.10154E-06,63,21
240.7,9.28955E-07,63,21
257.3,7.96203E-06,63,21
273.9,2.92475E-06,63,21
290.5,3.04741E-06,63,21
307.1,1.74192E-06,63,21
323.7,1.73133E-06,63,21
340.3,6.87481E-08,63,21
356.9,3.35255E-07,63,21
373.5,6.86096E-07,63,21
390.1,2.22447E-06,63,21
406.7,6.20293E-07,63,21
423.3,1.25054E-06,63,21
439.9,7.16186E-08,63,21
456.5,5.56265E-06,63,21
473.1,9.0307E-07,63,21
489.7,2.7139E-06,63,21
